-35.0 75.0 5 10
-30.0 70.0 5 10
-25.0 65.0 5 10
-20.0 60.0 5 10
-45.0 525.0 5 10
-40.0 520.0 5 10
-35.0 515.0 5 10
-30.0 510.0 5 10
-25.0 505.0 5 10
-85.0 405.0 -5 10
-70.0 400.0 -5 10
-55.0 395.0 -5 10
-40.0 390.0 -5 10
-25.0 385.0 -5 10
-20.0 380.0 -5 10
20.0 330.0 -5 -10
15.0 325.0 -5 -10
10.0 320.0 -5 -10
5.0 315.0 -5 -10
30.0 150.0 -5 -10
25.0 145.0 -5 -10
20.0 140.0 -5 -10
15.0 135.0 -5 -10
10.0 130.0 -5 -10
5.0 125.0 -5 -10
20.0 60.0 -5 -10
15.0 55.0 -5 -10
10.0 50.0 -5 -10
5.0 45.0 -5 -10
25.0 725.0 -5 -10
20.0 720.0 -5 -10
15.0 715.0 -5 -10
10.0 710.0 -5 -10
5.0 705.0 -5 -10
50.0 620.0 -5 -10
45.0 615.0 -5 -10
40.0 610.0 -5 -10
35.0 605.0 -5 -10
30.0 600.0 -5 -10
25.0 595.0 -5 -10
20.0 590.0 -5 -10
65.0 535.0 -5 -10
60.0 530.0 -5 -10
55.0 525.0 -5 -10
50.0 520.0 -5 -10
45.0 515.0 -5 -10
40.0 510.0 -5 -10
35.0 505.0 -5 -10
75.0 455.0 -5 -10
70.0 450.0 -5 -10
65.0 445.0 -5 -10
60.0 440.0 -5 -10
55.0 435.0 -5 -10
50.0 430.0 -5 -10
45.0 425.0 -5 -10
50.0 420.0 -5 -10
-5.0 255.0 5 10
-15.0 175.0 5 10
-10.0 170.0 5 10
-5.0 165.0 5 10
-5.0 105.0 5 10
-95.0 525.0 5 10
-90.0 520.0 5 10
-85.0 515.0 5 10
-80.0 510.0 5 10
-75.0 505.0 5 10
-70.0 500.0 5 10
-115.0 445.0 5 10
-110.0 440.0 5 10
-105.0 435.0 5 10
-100.0 430.0 5 10
-95.0 425.0 5 10
-90.0 420.0 5 10
-85.0 415.0 5 10
25.0 85.0 -5 -10
20.0 80.0 -5 -10
15.0 75.0 -5 -10
10.0 70.0 -5 -10
5.0 65.0 -5 -10
50.0 590.0 -5 -10
